"prt";"aasta";"kord";"mxkord";"kordev";"rinnv";"puu";"pl";"asim";"kaug";"d";"h";"rikked";"raadius";"hp";"v"
101;1999;1;4;1;"2";1;"KU";15;3,2;6,4;5,9;NA;20;NA;NA
101;2004;2;4;1;"K";1;"KU";15;3,2;NA;0;NA;30;NA;NA
101;2009;3;4;1;"K";1;"KU";15;3,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";1;"KU";15;3,2;NA;NA;NA;30;NA;NA
101;1999;1;4;4;"1";2;"KS";17,5;5,6;19,7;24,7;NA;20;23,2695475001612;0,324484543953136
101;2004;2;4;4;"1";2;"KS";17,5;5,6;21;23,7;NA;30;24,3142241325434;0,384038255878424
101;2009;3;4;4;"1";2;"KS";17,5;5,6;22,45;24,5;NA;30;25,1138612807532;0,451947498640896
101;2014;4;4;4;"1";2;"KS";17,5;5,6;23,65;25,2;NA;30;25,8567814792636;0,515089415195013
101;1999;1;4;1;"1";3;"KS";25,5;6,2;10,35;13,9;NA;20;16,9564131876067;0,0666753543089252
101;2004;2;4;1;"K";3;"KS";25,5;6,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";3;"KS";25,5;6,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";3;"KS";25,5;6,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";4;"KS";25,5;7;9;14,8;NA;20;15,4725596185473;0,0459669746651367
101;2004;2;4;1;"K";4;"KS";25,5;7;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";4;"KS";25,5;7;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";4;"KS";25,5;7;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";5;"KU";26;8,3;11,5;10,1;"10N";20;NA;NA
101;2004;2;4;1;"K";5;"KU";26;8,3;NA;NA;"10N";30;NA;NA
101;2009;3;4;1;"K";5;"KU";26;8,3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";5;"KU";26;8,3;NA;NA;NA;30;NA;NA
101;1999;1;4;NA;"S";6;"KS";30,4;12,6;NA;NA;"22";20;NA;NA
101;2004;2;4;NA;"Xsurn";6;"KS";30,4;12,6;NA;NA;NA;30;NA;NA
101;2009;3;4;NA;"Xsurn";6;"KS";30,4;12,6;NA;NA;NA;30;NA;NA
101;2014;4;4;NA;"Xsurn";6;"KS";30,4;12,6;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";7;"KS";27,5;17,2;10,1;NA;NA;20;16,6977295152105;0,0625330859450708
101;2004;2;4;1;"K";7;"KS";27,5;17,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";7;"KS";27,5;17,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";7;"KS";27,5;17,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";8;"HB";32;18,2;10,65;NA;NA;20;20,5129083173258;0,0865155791312935
101;2004;2;4;1;"K";8;"HB";32;18,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";8;"HB";32;18,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";8;"HB";32;18,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";9;"HB";33,5;19,2;11,3;NA;"10N";20;20,9495090777513;0,0992171833786698
101;2004;2;4;1;"K";9;"HB";33,5;19,2;NA;NA;"10N";30;NA;NA
101;2009;3;4;1;"K";9;"HB";33,5;19,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";9;"HB";33,5;19,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";10;"HB";38;16,3;21,9;24,6;NA;20;24,9289507591297;0,439322095589663
101;2004;2;4;1;"K";10;"HB";38;16,3;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";10;"HB";38;16,3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";10;"HB";38;16,3;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";11;"HB";41;13;20,8;NA;NA;20;24,6773714005453;0,39231042695563
101;2004;2;4;1;"K";11;"HB";41;13;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";11;"HB";41;13;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";11;"HB";41;13;NA;NA;NA;30;NA;NA
101;1999;1;4;4;"1";12;"HB";46,5;11,9;32,3;NA;NA;20;26,5412856037605;1,01849378277173
101;2004;2;4;4;"1";12;"HB";46,5;11,9;36,65;NA;NA;30;26,8008887871292;1,32510145476876
101;2009;3;4;4;"1";12;"HB";46,5;11,9;41,2;NA;NA;30;29,8282993851301;1,86064097287504
101;2014;4;4;4;"1";12;"HB";46,5;11,9;45;NA;NA;30;29,7251213262696;2,21392979600164
101;1999;1;4;1;"1";13;"KU";41;11,6;21,15;NA;NA;20;18,9340941804097;0,32577639403564
101;2004;2;4;1;"K";13;"KU";41;11,6;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";13;"KU";41;11,6;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";13;"KU";41;11,6;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";14;"KS";42;9,2;12,25;16,8;NA;20;18,7168538722118;0,102773599817447
101;2004;2;4;1;"K";14;"KS";42;9,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";14;"KS";42;9,2;NA;NA;NA;30;NA;NA
