"prt";"aasta";"kord";"mxkord";"kordev";"rinnv";"puu";"pl";"asim";"kaug";"d";"h";"rikked";"raadius";"hp";"v"
153;1999;1;4;1;"2";1;"KS";7,5;1,7;4,65;8,2;NA;15;NA;NA
153;2004;2;4;1;"K";1;"KS";7,5;1,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";1;"KS";7,5;1,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";1;"KS";7,5;1,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";2;"KU";11;3,2;9,2;12,3;NA;15;10,1963261904408;0,0368748922439993
153;2004;2;4;1;"K";2;"KU";11;3,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";2;"KU";11;3,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";2;"KU";11;3,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";3;"KS";15,5;3,6;10,5;13,2;NA;15;13,4183966598531;0,0538884609138551
153;2004;2;4;1;"K";3;"KS";15,5;3,6;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";3;"KS";15,5;3,6;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";3;"KS";15,5;3,6;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";4;"KS";3;3,3;6,4;8,4;NA;15;NA;NA
153;2004;2;4;1;"K";4;"KS";3;3,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";4;"KS";3;3,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";4;"KS";3;3,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";5;"KS";33;3,5;11,8;12,7;NA;15;14,3549999800939;0,0729574035877546
153;2004;2;4;1;"K";5;"KS";33;3,5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";5;"KS";33;3,5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";5;"KS";33;3,5;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";6;"KS";70,5;1;3,2;6,3;NA;15;NA;NA
153;2004;2;4;1;"K";6;"KS";70,5;1;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";6;"KS";70,5;1;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";6;"KS";70,5;1;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";7;"KS";66,5;1,8;5,5;9,9;NA;15;NA;NA
153;2004;2;4;1;"K";7;"KS";66,5;1,8;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";7;"KS";66,5;1,8;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";7;"KS";66,5;1,8;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";8;"KS";76,5;2,3;6,15;10,1;NA;15;NA;NA
153;2004;2;4;1;"K";8;"KS";76,5;2,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";8;"KS";76,5;2,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";8;"KS";76,5;2,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";9;"KS";72;3,6;4,7;8,1;NA;15;NA;NA
153;2004;2;4;1;"K";9;"KS";72;3,6;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";9;"KS";72;3,6;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";9;"KS";72;3,6;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";10;"KS";60,5;3,3;2,85;6,7;NA;15;NA;NA
153;2004;2;4;1;"K";10;"KS";60,5;3,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";10;"KS";60,5;3,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";10;"KS";60,5;3,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";11;"KS";41;2,2;3,3;5,8;NA;15;NA;NA
153;2004;2;4;1;"K";11;"KS";41;2,2;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";11;"KS";41;2,2;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";11;"KS";41;2,2;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";12;"KS";49;3,3;3,45;7,2;NA;15;NA;NA
153;2004;2;4;1;"K";12;"KS";49;3,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";12;"KS";49;3,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";12;"KS";49;3,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";13;"KS";44;3,7;5,4;8,3;NA;15;NA;NA
153;2004;2;4;1;"K";13;"KS";44;3,7;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";13;"KS";44;3,7;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";13;"KS";44;3,7;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";14;"KS";55;4;4,6;7,4;NA;15;NA;NA
153;2004;2;4;1;"K";14;"KS";55;4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";14;"KS";55;4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";14;"KS";55;4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";15;"KS";69;4,4;7,5;9,5;NA;15;10,6836700662872;0,0212529147356104
153;2004;2;4;1;"K";15;"KS";69;4,4;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";15;"KS";69;4,4;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";15;"KS";69;4,4;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";16;"KS";51;4,3;3,6;5,4;NA;15;NA;NA
153;2004;2;4;1;"K";16;"KS";51;4,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";16;"KS";51;4,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";16;"KS";51;4,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"1";17;"KS";48;5;6,55;10,5;NA;15;9,60646292815819;0,014138729763817
153;2004;2;4;1;"K";17;"KS";48;5;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";17;"KS";48;5;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";17;"KS";48;5;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";18;"KS";8;5,3;6,35;9;NA;15;NA;NA
153;2004;2;4;1;"K";18;"KS";8;5,3;NA;NA;NA;15;NA;NA
153;2009;3;4;1;"K";18;"KS";8;5,3;NA;NA;NA;15;NA;NA
153;2014;4;4;1;"K";18;"KS";8;5,3;NA;NA;NA;20;NA;NA
153;1999;1;4;1;"2";19;"KS";18;6,2;4,1;7,4;NA;15;NA;NA
153;2004;2;4;1;"K";19;"KS";18;6,2;NA;NA;NA;15;NA;NA
