"prt";"aasta";"kord";"mxkord";"kkt";"pev";"raadius";"vanus"
190;2014;4;5;"AN";"KS";20;65,5278323055074
208;2014;4;5;"AN";"KS";15;49,4212372131479
917;2018;4;4;"AN";"KS";20;45,4212372131479
208;2019;5;5;"AN";"KS";15;54,6639126607724
190;2004;2;5;"AN";"KS";20;55,7253643701444
917;2008;2;4;"AN";"KS";20;35,5454673248556
917;2003;1;4;"AN";"KS";15;30,6639126607724
190;2009;3;5;"AN";"KS";20;60,4745130881067
190;1999;1;5;"AN";"KS";20;50,878973404305
190;2019;5;5;"AN";"KS";20;70,3861671867533
186;2014;4;5;"AN";"KS";15;70,5454673248556
432;2015;4;4;"AN";"KS";15;47,1708683185648
186;2009;3;5;"AN";"KS";15;65,4567071878574
101;1999;1;4;"AN";"KS";20;45,4567071878574
319;2005;3;6;"AN";"KS";15;50,077284295595
186;2004;2;5;"AN";"KS";15;60,8056876528556
101;2004;2;4;"AN";"KS";30;50,0487775387504
917;2013;3;4;"AN";"KS";20;40,6477215381328
432;2000;1;4;"AN";"KS";15;32,9998646396573
432;2005;2;4;"AN";"KS";15;37,7933862475787
432;2010;3;4;"AN";"KS";15;42,9633653326843
319;2015;5;6;"AN";"KS";15;60,1837315389485
336;1995;1;6;"AN";"KS";15;45,4212372131479
101;2009;3;4;"AN";"KS";30;55,1039325562092
319;2010;4;6;"AN";"KS";15;55,9109166581676
103;2014;4;5;"AN";"KS";25;75,4036365500413
103;2019;5;5;"AN";"KS";25;80,1837315389485
631;2006;2;4;"AN";"KS";15;25,753834595326
336;2020;6;6;"AN";"KS";20;70,0945406527555
186;1999;1;5;"AN";"KS";15;55,869880124406
191;2014;4;4;"AN";"KS";20;75,5278323055074
208;1999;1;5;"AN";"KS";15;34,9823995145276
208;2004;2;5;"AN";"KS";15;39,8876166286025
101;2014;4;4;"AN";"KS";30;60
186;2019;5;5;"AN";"KS";15;75,7253643701444
187;1999;1;5;"AN";"KS";20;50,869880124406
319;1995;1;6;"AN";"KS";9;40,3348505575802
187;2014;4;5;"AN";"KS";20;65,5454673248556
103;2009;3;5;"AN";"KS";25;70,1465720367703
631;2001;1;4;"AN";"KS";15;20,753834595326
437;2000;1;5;"AN";"KS";15;20,9999072241211
336;2005;3;6;"AN";"KS";20;55,3517445291812
336;2010;4;6;"AN";"KS";20;60,8876166286025
191;1999;1;4;"AN";"KS";20;60,878973404305
191;2004;2;4;"AN";"KS";20;65,7253643701444
103;1999;1;5;"AN";"KS";25;60,4745130881067
103;2004;2;5;"AN";"KS";25;65,0694148040316
438;2020;5;5;"AN";"KS";15;43,3018390014576
191;2009;3;4;"AN";"KS";20;70,4745130881067
631;2011;3;4;"AN";"KS";15;30,3018390014576
336;2015;5;6;"AN";"KS";20;65,7538345953261
438;2000;1;5;"AN";"KS";15;23,9999072241211
319;2020;6;6;"AN";"KS";15;65,1039325562092
437;2020;5;5;"AN";"KS";15;40,3018390014576
437;2005;2;5;"AN";"KS";15;25,6145041977285
208;2009;3;5;"AN";"KS";15;44,631243769902
187;2004;2;5;"AN";"KS";20;55,8056876528556
319;2000;2;6;"AN";"KS";15;45,924349523505
187;2019;5;5;"AN";"KS";20;70,7253643701444
437;2015;4;5;"AN";"KS";15;35,2108266699142
336;2000;2;6;"AN";"KS";20;50,9362049467495
438;2015;4;5;"AN";"KS";15;38,2108266699142
631;2016;4;4;"AN";"KS";15;35,3688598286379
187;2009;3;5;"AN";"KS";20;60,4567071878574
437;2010;3;5;"AN";"KS";15;30,9913128416325
112;2009;3;5;"AN";"KS";20;41,1465720367703
112;1999;1;5;"AN";"KS";20;31,4923237581436
438;2010;3;5;"AN";"KS";15;33,9913128416325
112;2004;2;5;"AN";"KS";20;36,1039325562092
438;2005;2;5;"AN";"KS";15;28,5975289497502
112;2019;5;5;"AN";"KS";20;51,1970556720971
112;2014;4;5;"AN";"KS";20;46,0000075829713
