"prt";"aasta";"kord";"mxkord";"kkt";"pev";"raadius";"vanus"
325;2015;5;6;"ND";"KS";22;100,753834595326
301;1995;1;3;"ND";"KS";20;85,3018390014576
325;2010;4;6;"ND";"KS";20;95,9178362196794
391;2005;3;3;"ND";"KS";19;90,1351582491296
391;2000;2;3;"ND";"KS";19;85
544;2001;2;5;"ND";"KS";10;35,0620450680286
391;1995;1;3;"ND";"KS";19;80,2700389977134
303;2000;2;2;"ND";"KS";17;85,869880124406
304;1995;1;6;"ND";"KS";14;60,3182062723134
327;2005;3;6;"ND";"KS";17;90,3018390014576
390;2005;3;3;"ND";"KS";20;90,1351582491296
570;1996;1;5;"ND";"KS";10;45,753834595326
431;2015;4;4;"ND";"KS";15;47,1708683185648
310;1995;1;4;"ND";"KS";14;50,3348505575802
327;2000;2;6;"ND";"KS";17;85,9304682817006
303;1995;1;2;"ND";"KS";17;80,3018390014576
390;1995;1;3;"ND";"KS";20;80,2700389977134
569;2016;5;5;"ND";"KS";20;65,0324159718094
320;2000;2;6;"ND";"KS";15;40,924349523505
324;2020;6;6;"ND";"KS";18;70,0551686270709
320;2005;3;6;"ND";"KS";15;45,0856584664918
431;2010;3;4;"ND";"KS";15;42,9633653326843
325;2000;2;6;"ND";"KS";20;85,9304682817006
327;1995;1;6;"ND";"KS";17;80,3517445291812
390;2000;2;3;"ND";"KS";20;85
542;2016;5;5;"ND";"KS";15;40,0694148040316
320;2010;4;6;"ND";"KS";15;50,9109166581676
324;2015;5;6;"ND";"KS";18;65,7398013016593
188;2014;4;4;"ND";"KS";20;70,5454673248556
320;1995;1;6;"ND";"KS";10;35,3348505575802
325;1995;1;6;"ND";"KS";20;80,3517445291812
327;2020;6;6;"ND";"KS";17;105,042862436775
544;1996;1;5;"ND";"KS";10;30,3861671867533
153;1999;1;4;"ND";"KS";15;25,7253643701444
542;2011;4;5;"ND";"KS";15;35,0001726686639
329;1995;1;6;"ND";"KS";14;55,4036365500413
153;2014;4;4;"ND";"KS";20;40,0111322070992
545;2006;3;5;"ND";"KS";15;40,0000075829713
545;2011;4;5;"ND";"KS";15;45,0003913963099
568;2001;2;5;"ND";"KS";14;44,2857749304249
325;2020;6;6;"ND";"KS";22;105,042862436775
389;2005;3;3;"ND";"KS";18;90,1351582491296
188;2009;3;4;"ND";"KS";15;65,4567071878574
724;2012;3;4;"ND";"KS";15;25,2857749304249
329;2000;2;6;"ND";"KS";18;60,9362049467495
153;2009;3;4;"ND";"KS";15;35,2857749304249
916;2003;1;4;"ND";"KS";15;35,6639126607724
916;2008;2;4;"ND";"KS";20;40,5454673248556
576;1996;1;5;"ND";"KS";12;18,3348505575802
188;2004;2;4;"ND";"KS";15;60,8056876528556
394;2015;5;6;"ND";"KS";21;85,7398013016593
213;2009;3;4;"ND";"KS";25;65,4389379564386
579;1996;1;5;"ND";"KS";8;23,9960239651476
153;2004;2;4;"ND";"KS";15;30,3517445291812
724;2017;4;4;"ND";"KS";20;30,1970556720971
213;2014;4;4;"ND";"KS";25;70,0028088039676
324;2010;4;6;"ND";"KS";18;60,9178362196794
431;2000;1;4;"ND";"KS";15;32,9998646396573
916;2013;3;4;"ND";"KS";20;45,6477215381328
327;2010;4;6;"ND";"KS";17;95,9178362196794
327;2015;5;6;"ND";"KS";17;100,753834595326
389;2000;2;3;"ND";"KS";18;85
301;2000;2;3;"ND";"KS";20;90,869880124406
301;2005;3;3;"ND";"KS";20;95,0007383297069
325;2005;3;6;"ND";"KS";20;90,2250287633235
394;2020;6;6;"ND";"KS";21;90,0374125914354
444;2020;5;5;"ND";"KS";15;50,1837315389485
545;2001;2;5;"ND";"KS";11;35,0620450680286
568;1996;1;5;"ND";"KS";10;39,753834595326
389;1995;1;3;"ND";"KS";18;80,2700389977134
213;1999;1;4;"ND";"KS";25;55,9842736319675
551;1996;1;5;"ND";"KS";11;40,7674507068933
545;2016;5;5;"ND";"KS";15;50,0620450680286
551;2006;3;5;"ND";"KS";20;50,1242439090348
310;2000;2;4;"ND";"KS";14;55,8876166286025
394;1995;1;6;"ND";"KS";18;65,2250287633235
724;2007;2;4;"ND";"KS";15;20,869880124406
579;2011;4;5;"ND";"KS";20;38,0052928451289
579;2016;5;5;"ND";"KS";20;43,4923237581436
329;2005;3;6;"ND";"KS";18;65,3688598286379
546;1996;1;5;"ND";"KS";14;40,5017117869593
324;2000;2;6;"ND";"KS";18;50,9304682817006
431;2005;2;4;"ND";"KS";15;37,8056876528556
310;2005;3;4;"ND";"KS";14;60,0200069686337
188;1999;1;4;"ND";"KS";15;55,869880124406
560;2016;5;5;"ND";"KS";15;55,1242439090348
561;1996;1;5;"ND";"KS";10;35,6477215381328
561;2001;2;5;"ND";"KS";10;40,2700389977134
561;2006;3;5;"ND";"KS";20;45,0003913963099
561;2011;4;5;"ND";"KS";20;50,0052928451289
561;2016;5;5;"ND";"KS";20;55,1242439090348
562;1996;1;5;"ND";"KS";8;22,6797936855017
320;2015;5;6;"ND";"KS";15;55,1837315389485
562;2016;5;5;"ND";"KS";15;42,1242439090348
563;1996;1;5;"ND";"KS";10;22,6797936855017
444;2000;1;5;"ND";"KS";15;30,9999719215532
306;1995;1;6;"ND";"KS";19;80,3182062723134
306;2000;2;6;"ND";"KS";19;85,878973404305
316;2005;3;6;"ND";"KS";15;75,6797936855017
324;2005;3;6;"ND";"KS";18;55,2108266699142
330;2020;6;6;"ND";"KS";16;110,103932556209
916;2018;4;4;"ND";"KS";20;50,4212372131479
310;2010;4;4;"ND";"KS";14;65,9304682817006
568;2006;3;5;"ND";"KS";20;49,0237281595555
544;2006;3;5;"ND";"KS";15;40,0000075829713
544;2011;4;5;"ND";"KS";15;45,0003913963099
544;2016;5;5;"ND";"KS";15;50,0620450680286
545;1996;1;5;"ND";"KS";11;30,3861671867533
569;2011;4;5;"ND";"KS";20;60,027859308985
570;2001;2;5;"ND";"KS";17;50,2857749304249
570;2016;5;5;"ND";"KS";20;65,0374125914354
394;2000;2;6;"ND";"KS";18;70
444;2005;2;5;"ND";"KS";15;35,8603316806928
444;2010;3;5;"ND";"KS";15;40,9999577399292
306;2005;3;6;"ND";"KS";25;90,6639126607724
329;2010;4;6;"ND";"KS";18;70,8958162499397
558;2001;2;5;"ND";"KS";7;35,1351582491296
542;1996;1;5;"ND";"KS";10;20,7253643701444
551;2001;2;5;"ND";"KS";17;45,1138342031808
578;1996;1;5;"ND";"KS";10;23,9960239651476
578;2016;5;5;"ND";"KS";15;43,4923237581436
579;2001;2;5;"ND";"KS";18;28,3861671867533
571;2001;2;5;"ND";"KS";8;27,3018390014576
724;2002;1;4;"ND";"KS";15;15,4212372131479
579;2006;3;5;"ND";"KS";20;33,0028088039676
316;1995;1;6;"ND";"KS";14;65,3182062723134
316;2000;2;6;"ND";"KS";14;70,924349523505
316;2015;5;6;"ND";"KS";15;85,1039325562092
316;2020;6;6;"ND";"KS";15;90,2857749304249
542;2006;3;5;"ND";"KS";15;30
330;2015;5;6;"ND";"KS";16;105,739801301659
574;1996;1;5;"ND";"KS";15;46,3348505575802
574;2011;4;5;"ND";"KS";25;61,0237281595555
574;2016;5;5;"ND";"KS";25;66,0856584664919
320;2020;6;6;"ND";"KS";15;60,1039325562092
